# NEST version: 3.7.0
# RecordingBackendASCII version: 2
sender	time_ms
656	902.000
615	903.000
708	903.000
683	908.000
694	908.000
798	908.000
640	909.000
691	909.000
787	909.000
799	909.000
717	910.000
672	911.000
674	911.000
715	911.000
693	912.000
705	912.000
627	913.000
669	913.000
677	913.000
689	913.000
774	913.000
776	913.000
613	914.000
726	914.000
782	914.000
633	915.000
634	915.000
723	915.000
732	915.000
755	915.000
736	916.000
766	916.000
784	916.000
611	917.000
665	917.000
788	917.000
677	918.000
679	918.000
713	918.000
748	918.000
756	918.000
661	919.000
671	919.000
726	919.000
758	919.000
623	920.000
675	920.000
675	921.000
688	921.000
716	921.000
752	921.000
681	922.000
702	922.000
711	922.000
748	922.000
673	923.000
747	923.000
770	923.000
625	924.000
693	924.000
711	924.000
718	924.000
769	924.000
794	924.000
625	925.000
671	925.000
676	925.000
681	925.000
739	925.000
754	925.000
772	925.000
778	925.000
798	925.000
634	926.000
693	926.000
732	926.000
733	926.000
750	926.000
634	927.000
672	927.000
713	927.000
738	927.000
606	928.000
626	928.000
776	928.000
782	928.000
783	928.000
788	928.000
621	929.000
688	929.000
729	929.000
738	929.000
780	929.000
640	930.000
679	930.000
700	930.000
705	930.000
714	930.000
772	930.000
788	930.000
603	931.000
637	931.000
647	931.000
656	931.000
679	931.000
681	931.000
696	931.000
697	931.000
744	931.000
646	932.000
718	932.000
732	932.000
766	932.000
771	932.000
643	933.000
685	933.000
713	933.000
731	933.000
660	934.000
677	934.000
682	934.000
690	934.000
712	934.000
725	934.000
752	934.000
764	934.000
777	934.000
625	935.000
661	935.000
711	935.000
712	935.000
725	935.000
744	935.000
760	935.000
773	935.000
645	936.000
656	936.000
680	936.000
726	936.000
739	936.000
748	936.000
764	936.000
776	936.000
612	937.000
634	937.000
657	937.000
701	937.000
730	937.000
779	937.000
782	937.000
784	937.000
698	938.000
702	938.000
785	938.000
801	938.000
673	939.000
752	939.000
774	939.000
783	939.000
617	940.000
624	940.000
640	940.000
648	940.000
673	940.000
687	940.000
689	940.000
691	940.000
708	940.000
731	940.000
784	940.000
790	940.000
621	941.000
639	941.000
680	941.000
695	941.000
697	941.000
711	941.000
722	941.000
630	942.000
632	942.000
696	942.000
724	942.000
764	942.000
650	943.000
660	943.000
671	943.000
689	943.000
747	943.000
749	943.000
619	944.000
629	944.000
671	944.000
678	944.000
687	944.000
692	944.000
700	944.000
726	944.000
741	944.000
756	944.000
765	944.000
766	944.000
790	944.000
798	944.000
638	945.000
642	945.000
687	945.000
716	945.000
757	945.000
780	945.000
781	945.000
800	945.000
615	946.000
619	946.000
628	946.000
639	946.000
646	946.000
652	946.000
653	946.000
665	946.000
710	946.000
720	946.000
760	946.000
765	946.000
789	946.000
625	947.000
695	947.000
700	947.000
709	947.000
620	948.000
623	948.000
652	948.000
658	948.000
684	948.000
763	948.000
766	948.000
617	949.000
671	949.000
681	949.000
790	949.000
793	949.000
801	949.000
621	950.000
682	950.000
685	950.000
718	950.000
724	950.000
742	950.000
764	950.000
769	950.000
776	950.000
782	950.000
629	951.000
638	951.000
646	951.000
661	951.000
662	951.000
697	951.000
707	951.000
709	951.000
646	952.000
658	952.000
673	952.000
691	952.000
732	952.000
736	952.000
790	952.000
792	952.000
797	952.000
799	952.000
610	953.000
638	953.000
644	953.000
666	953.000
680	953.000
698	953.000
705	953.000
713	953.000
750	953.000
763	953.000
623	954.000
626	954.000
627	954.000
640	954.000
657	954.000
689	954.000
695	954.000
709	954.000
744	954.000
760	954.000
764	954.000
773	954.000
780	954.000
784	954.000
786	954.000
793	954.000
796	954.000
655	955.000
656	955.000
720	955.000
744	955.000
760	955.000
769	955.000
771	955.000
790	955.000
630	956.000
637	956.000
678	956.000
682	956.000
712	956.000
725	956.000
773	956.000
786	956.000
790	956.000
609	957.000
678	957.000
694	957.000
736	957.000
744	957.000
746	957.000
767	957.000
779	957.000
780	957.000
802	957.000
631	958.000
643	958.000
666	958.000
670	958.000
671	958.000
687	958.000
700	958.000
707	958.000
734	958.000
742	958.000
648	959.000
744	959.000
756	959.000
770	959.000
610	960.000
636	960.000
654	960.000
687	960.000
690	960.000
693	960.000
784	960.000
792	960.000
603	961.000
629	961.000
646	961.000
657	961.000
696	961.000
698	961.000
721	961.000
780	961.000
784	961.000
611	962.000
613	962.000
616	962.000
625	962.000
631	962.000
639	962.000
646	962.000
655	962.000
667	962.000
671	962.000
681	962.000
702	962.000
713	962.000
719	962.000
752	962.000
778	962.000
779	962.000
784	962.000
674	963.000
708	963.000
739	963.000
741	963.000
745	963.000
768	963.000
791	963.000
605	964.000
636	964.000
643	964.000
655	964.000
704	964.000
712	964.000
755	964.000
763	964.000
772	964.000
800	964.000
618	965.000
680	965.000
683	965.000
704	965.000
786	965.000
802	965.000
621	966.000
639	966.000
656	966.000
658	966.000
683	966.000
704	966.000
723	966.000
741	966.000
744	966.000
747	966.000
752	966.000
760	966.000
772	966.000
788	966.000
799	966.000
607	967.000
615	967.000
622	967.000
653	967.000
679	967.000
748	967.000
760	967.000
776	967.000
784	967.000
613	968.000
623	968.000
646	968.000
651	968.000
683	968.000
690	968.000
700	968.000
702	968.000
711	968.000
735	968.000
760	968.000
763	968.000
785	968.000
646	969.000
666	969.000
670	969.000
728	969.000
730	969.000
731	969.000
745	969.000
760	969.000
762	969.000
777	969.000
797	969.000
604	970.000
681	970.000
682	970.000
683	970.000
684	970.000
690	970.000
721	970.000
733	970.000
738	970.000
794	970.000
617	971.000
625	971.000
628	971.000
654	971.000
699	971.000
722	971.000
726	971.000
728	971.000
730	971.000
739	971.000
771	971.000
621	972.000
641	972.000
655	972.000
668	972.000
672	972.000
678	972.000
732	972.000
753	972.000
758	972.000
764	972.000
607	973.000
653	973.000
669	973.000
685	973.000
688	973.000
694	973.000
703	973.000
713	973.000
738	973.000
604	974.000
631	974.000
667	974.000
674	974.000
683	974.000
712	974.000
714	974.000
717	974.000
761	974.000
772	974.000
775	974.000
785	974.000
632	975.000
671	975.000
695	975.000
704	975.000
706	975.000
710	975.000
716	975.000
721	975.000
725	975.000
